Squad,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31
Arsenal,51,579,63.2,22,482,445,69,34.1,0.14,0.41,16.2,11,4,71,1557,393,302,71,200,580,34.5,1641,26.7,1999,2852,1298,538,124,300,858,70
Bournemouth,70,546,59.0,17,501,451,55,35.0,0.11,0.32,16.2,14,7,78,1305,303,271,51,139,457,30.4,1545,22.9,2551,2948,1241,595,152,277,1065,45
Brighton,60,511,59.5,13,497,388,35,26.8,0.08,0.3,16.7,11,5,80,928,432,384,77,193,594,32.5,1568,22.8,2735,2959,1180,653,192,312,1065,36
Burnley,68,401,57.6,5,477,343,43,31.7,0.11,0.36,15.0,15,2,86,955,342,302,56,210,579,36.3,1478,23.5,2152,2751,1385,744,241,314,1149,40
Cardiff City,69,501,60.9,14,420,408,33,27.6,0.07,0.27,16.8,13,3,59,805,402,361,68,195,612,31.9,1769,24.8,2640,3270,1211,707,154,383,917,34
Chelsea,39,659,66.0,16,448,527,61,31.7,0.09,0.3,17.2,30,5,81,1858,411,293,91,171,509,33.6,1795,28.7,1950,2667,1637,499,83,290,589,72
Crystal Palace,53,756,64.9,19,465,541,48,28.0,0.08,0.28,16.8,16,10,67,1242,457,415,79,242,629,38.5,1735,24.2,3073,2935,1153,732,173,366,1042,49
Everton,46,600,56.5,18,572,499,53,32.2,0.1,0.32,16.2,20,2,91,1373,453,359,82,183,517,35.4,1899,28.8,2277,2906,1414,595,104,369,912,54
Fulham,81,625,62.6,27,472,502,33,31.5,0.07,0.22,18.2,10,2,63,1225,400,334,51,189,524,36.1,1641,25.8,2452,2700,1214,644,160,370,985,26
Huddersfield,76,524,54.2,14,424,434,20,29.5,0.05,0.16,18.1,15,1,94,1089,434,359,87,230,709,32.4,1897,26.3,2649,3201,1367,667,135,447,759,16
Leicester City,48,596,63.9,26,481,448,48,34.3,0.08,0.25,17.7,18,5,69,1308,445,384,75,160,540,29.6,1889,27.8,2475,2986,1323,644,108,369,931,52
Liverpool,22,640,61.7,33,544,480,86,37.0,0.14,0.38,16.1,20,7,88,1937,388,262,95,174,564,30.9,1812,29.2,1756,2743,1696,509,92,299,699,97
Manchester City,23,710,59.6,30,430,456,91,36.3,0.13,0.36,16.2,20,3,63,2044,352,215,76,167,465,35.9,1589,29.0,1362,2474,1651,440,78,287,653,98
Manchester Utd,54,585,61.9,17,454,457,65,40.9,0.11,0.26,17.8,28,9,74,1543,359,299,67,179,528,33.9,1619,26.0,2204,2739,1273,603,138,316,861,66
Newcastle Utd,48,506,58.5,21,474,428,41,31.4,0.09,0.29,18.1,17,1,89,953,422,375,70,229,667,34.3,1774,24.2,2886,3310,1144,745,152,431,1100,45
Southampton,65,554,59.4,19,453,381,44,31.5,0.08,0.26,18.0,19,4,80,1115,451,371,85,235,679,34.6,1940,26.1,2704,3166,1562,697,164,411,1026,39
Tottenham,39,671,58.9,31,486,453,66,34.9,0.12,0.33,17.1,23,4,98,1503,401,336,92,191,534,35.8,1677,28.3,1979,2572,1368,580,124,277,780,71
Watford,59,550,56.9,18,487,486,51,34.6,0.12,0.33,16.6,22,1,68,1201,426,370,71,211,626,33.7,1875,27.2,2581,2976,1339,591,123,331,915,50
West Ham,55,614,63.4,29,446,483,51,34.1,0.11,0.31,16.4,17,5,60,1175,443,379,64,234,699,33.5,1699,25.2,2680,2917,1150,640,145,386,884,52
Wolves,46,547,61.8,12,459,496,46,30.6,0.09,0.29,17.0,12,4,77,1208,407,380,56,209,642,32.6,1631,26.2,2345,2944,932,660,151,360,945,57
